ID,std_NLL,prob_NLL
91484,176.00012297945165,222.1299612351462
33708,440.5544928640953,449.2801170636827
42292,242.33137152656096,254.0631068824267
56864,207.5173689754851,218.5440413598579
66473,256.5718577155835,262.9777393149257
97388,214.23465808362695,292.79910677342394
31601,311.82881998356777,384.9042097665026
67505,279.8893198439013,343.2032393131184
39232,235.93229080282399,244.45954582435422
78276,229.14759057402756,257.75028109485237
99977,272.4621545959629,341.1602653188889
50905,179.0266259716326,243.12145460426706
27371,249.56716915016565,333.80409965119685
20272,191.3062585966719,207.39660730503775
19487,259.24184403955996,347.85516456485584
68825,242.67143369168437,312.286517283081
13662,296.7376559697737,343.8041404180246
