"ID","goal_noise","pass_noise","action_noise","std_goal_noise","std_action_noise"
91484,4.196961213,1.089251763,5.148639694,-2.247182953,-2.907302711
98763,2.991642792,3.02072401,3.919454356,0.550464037,9.152214177
33708,2.425878069,9155.574449,2.07537564,1.138674273,2.752720195
51325,6.211448976,0.760030617,6.375324961,1.177912461,3.759706743
42292,1.007234599,1.647667423,4.806565794,1.123638536,3.112887394
43580,2.021360477,18488.74955,4.401997457,3.175916679,3.96128648
14189,8.439630313,6.018257665,3.268890779,1.843570426,3.821865446
19737,2.057585298,1.008067209,4.727613465,1.556831209,4.164068009
56864,2.033151603,1.102704515,5.26703463,1.234677645,4.55430353
66473,0.955091732,0.801378869,0.048132748,1.144648146,3.530518024
67590,2.190703566,0.706484662,5.18295855,0.847762674,3.938919678
97388,4.571498764,0.774936402,3.250367038,0.571954936,4.972463946
26365,0.631350103,122.793462,7.474054322,0.967618736,5.208905347
62686,3.918141275,0.590257531,8.670074379,1.016640236,3.757069754
31601,2.046684537,1.942805954,3.40135153,0.720593078,4.865652751
67505,0.932197989,0.847360735,4.568086999,0.916768524,1.713276201
39232,1.991801989,0.270334137,-0.062569023,0.760840556,2.939110329
36524,1.912641094,2.35856433,0.151282287,1.299135215,1.087116164
78276,0.956901284,35.00198161,5.092102702,0.783180242,4.428003696
99977,1.393596664,1.292247238,2.903191495,6.665173406,1.970208671
50905,267.8707694,253.5067781,2.566600003,36.20344009,2.571423302
75842,5.490696252,0.900702362,3.419778184,1.396521215,4.682632564
49589,5.567782923,0.876273028,4.346299167,1.308983508,4.33844754
53463,2.323719883,9.718208574,3.555541699,4.012669601,2.641681987
27371,0.905040224,298.7771587,3.834648543,0.932762548,3.753687046
20272,0.65101155,0.709048705,0.229350443,4.565214976,2.466487838
19487,1.524568578,0.813270732,3.994013238,0.599029655,3.235028627
20340,1.795233386,1.042507339,5.55227907,0.945701092,6.074631977
68825,0.605403667,0.673285694,0.611463949,2.378380872,1.888284549
13662,2.134492638,15.00592043,3.126191837,2.318719654,2.865162838
29690,1.407982466,2.350120206,9.376071995,2.084618869,4.932906868
92567,2.184726198,1.02292351,2.68355905,2.259073979,2.876377399
96815,0.543867204,9.994337047,4.343524738,35.47182517,2.179895213
85609,3.485048844,0.887765791,4.175598526,1.541751588,3.965988346
26316,0.65764785,0.78722804,0.08532432,36.30556706,3.166427734
40168,2.59028445,1.07780054,2.62419046,0.486939173,6.331885055
51310,3.9190996,0.54440841,5.55662713,1.304072724,2.967547679
50933,177.533398,1722.80709,1.01991749,0.453456691,4.817124102
37196,0.73940376,2.27047106,6.00680243,1.179593995,3.789241915
79463,0.69352549,0.54193842,0.20268389,2.186354895,4.84239268
27392,0.82851218,0.78279301,0.87674441,0.818274941,4.780368532
80393,3.84772538,0.82566184,4.78156041,1.238807313,4.104370964
94317,0.98932353,1.50565712,1.41472844,2.988605683,1.318020358
70176,1.55155622,0.37545872,0.42363446,1.763540489,5.879608925
53968,5.68671043,0.95006954,3.92562138,1.70016154,4.903352891
