ID,literal_NLL,prag_NLL
91484,43.8200333098644,48.162750062920274
33708,48.96033248882258,50.77592344261652
42292,43.12219101744404,45.62087550552382
56864,44.686732883930674,46.927840039040426
66473,44.37277642874225,45.28448887965785
97388,38.87198164657967,44.89719995683721
31601,54.75785573636141,57.42500941304003
67505,38.847660060752936,60.57310547083828
39232,37.456647052843245,42.490179001481
78276,38.72171508589189,43.529392797374285
99977,43.128053829289044,55.425784037961996
50905,38.42321002030174,56.88450399928807
27371,44.6817571565831,53.509807412477954
20272,47.63432401557659,45.92179941683484
19487,42.92715348687301,53.87025531107505
68825,45.78452371983642,53.79207851395719
13662,43.73965184724493,52.50523720616704
92567,38.39201512323738,43.86768765565954
96815,38.463993723745304,54.15712841475635
51310,39.65766909018689,47.4163716660009
50933,52.77140426987676,53.646259562160395
37196,44.57383690970862,57.50474416721197
79463,39.22551730112015,63.370457797790735
51325,37.7597375434451,51.631130429331485
43580,43.65001599634722,58.88245695577871
14189,45.24160875690781,46.8001766990441
19737,44.659205222654144,52.4118044686694
67590,38.9186595333746,37.324012305098805
26365,38.23111988778851,48.62749079053286
62686,37.746275538510055,42.72891340614421
36524,54.38433865176284,53.30835255714949
75842,39.04424347113079,55.85540430983899
49589,48.50367429827943,52.09031055309281
53463,38.85312595346565,55.94603683067329
20340,38.603308183574335,52.785561020152954
29690,47.986453169956825,52.07994709574981
85609,37.9363600810331,46.68214965484171
26316,38.453651277210454,52.33814318705751
40168,54.88134379105233,55.597956027383745
