ID,goal,goal_type,first_move,utility,literal_prob,prag_prob,literal_better_than,prag_better_than,len_literal,len_prag
91484,fill nocolor C1,fill,"(70, 84)",1,0.0212194396035845,0.0062417685842268,247,253,289,289
91484,fill nocolor A2,fill,"(92, 93)",1,0.0198334419721015,0.0315882536536642,244,285,289,289
91484,cover green all,cover,"(83, 64)",0,0.0005094918218327,0.0008225905287491,66,241,289,289
91484,cover red all,cover,"(92, 73)",1,0.0096825591698269,0.0289404861853456,190,285,289,289
91484,move red A,move,"(80, 73)",1,0.0246221658541034,0.0301420683524313,253,281,289,289
91484,uncover red all,uncover,"(72, 74)",1,0.0294948519845254,0.0082430279395973,259,273,289,289
91484,clear nocolor A2,clear,"(58, 73)",1,0.0282251099282876,0.0071195403102152,259,264,289,289
91484,clear nocolor A1,clear,"(92, 93)",1,0.0199502491717013,0.0289052031898174,244,284,289,289
91484,move blue C,move,"(92, 84)",1,0.0215227854853749,0.0244993575100445,247,275,289,289
91484,uncover green all,uncover,"(83, 78)",1,0.0173704204160194,0.0093636585024743,235,272,289,289
98763,cover red all,cover,"(95, 78)",1,0.0091840255923515,0.0022076566889885,191,246,289,289
98763,clear nocolor A2,clear,"(57, 74)",1,0.0228824891492512,0.0084822920533099,259,283,289,289
98763,fill nocolor B1,fill,"(95, 78)",1,0.0182005802336817,0.0060563314194214,247,271,289,289
98763,uncover blue all,uncover,"(73, 94)",1,0.0184293380478656,0.0046978508497287,244,278,289,289
98763,move blue B2,move,"(101, 94)",0,0.001132364578484,0.0032010892168696,78,0,289,289
98763,fill nocolor A2,fill,"(79, 94)",1,0.0170527256963566,0.0042208411767516,244,259,289,289
98763,cover green all,cover,"(54, 55)",1,0.0139609491522897,0.003291709954924,229,252,289,289
98763,move blue B,move,"(81, 83)",0,0.0009399974076325,0.0033988924163077,75,224,289,289
98763,clear nocolor C,clear,"(88, 78)",1,0.0122242450435486,0.0037778949381605,217,234,289,289
98763,uncover red all,uncover,"(54, 94)",1,0.0304213964240237,0.0055409470010146,265,282,289,289
