ID,goal,goal_type,first_move,utility,literal_prob,prag_prob,literal_better_than,prag_better_than,len_literal,len_prag
33708,fill nocolor A1,fill,"(75, 73)",1,0.016646886093148,0.0120596925925483,233,266,272,272
33708,uncover green all,uncover,"(81, 83)",1,0.0193214927322896,0.0066479040794673,236,264,272,272
33708,move blue A1,move,"(74, 77)",0,0.0019318844265755,0.0031906245624595,63,0,272,272
33708,clear nocolor A,clear,"(74, 77)",0,0.0012410966627911,0.0031460137908762,60,0,272,272
33708,cover green all,cover,"(67, 86)",1,0.0103040426783338,0.0009313678336372,194,225,272,272
33708,clear nocolor C2,clear,"(87, 86)",1,0.0151515810041115,0.0050232583768453,227,238,272,272
33708,fill nocolor B2,fill,"(66, 100)",1,0.0155755841836354,0.0047035886595803,230,235,272,272
33708,cover red all,cover,"(94, 77)",1,0.0146176647267755,0.2600583361518491,222,270,272,272
33708,uncover blue all,uncover,"(54, 73)",1,0.0177338977534013,0.0041371872428711,232,236,272,272
33708,move blue B1,move,"(79, 100)",0,0.0017368771936655,0.0033117907909832,71,0,272,272
51325,fill nocolor B2,fill,"(80, 81)",1,0.0238095238095238,0.0047770607941323,247,260,289,289
51325,uncover green all,uncover,"(60, 81)",1,0.05,0.0044163745233954,269,277,289,289
51325,cover red all,cover,"(55, 54)",1,0.0217391304347826,0.00154891385294,243,258,289,289
51325,move red B,move,"(72, 79)",1,0.0185185185185185,0.0069318979676468,235,272,289,289
51325,clear nocolor A1,clear,"(55, 88)",1,0.0222222222222222,0.003757698227643,244,245,289,289
51325,clear nocolor A,clear,"(55, 88)",1,0.0166666666666666,0.0036592017995504,229,230,289,289
51325,move green C2,move,"(104, 88)",1,0.037037037037037,0.031440701600554,262,287,289,289
51325,fill nocolor C2,fill,"(72, 88)",1,0.0238095238095238,0.0084301167230972,247,268,289,289
51325,cover green all,cover,"(72, 37)",1,0.01010101010101,0.1136226903228994,190,281,289,289
51325,uncover blue all,uncover,"(55, 54)",1,0.0277777777777777,0.0069681956351421,253,280,289,289
42292,fill nocolor C1,fill,"(60, 84)",1,0.0209476811526679,0.003917281502332,247,247,289,289
42292,move blue A2,move,"(90, 77)",1,0.0201123779086002,0.0088219862042578,244,286,289,289
42292,uncover blue all,uncover,"(75, 98)",1,0.0278915317384165,0.0049122992791709,257,265,289,289
42292,cover green all,cover,"(61, 98)",0,0.000296156187243,0.0015739104465988,11,0,289,289
42292,fill nocolor C2,fill,"(90, 87)",1,0.0209476811526679,0.0063165289185492,247,268,289,289
42292,uncover green all,uncover,"(82, 98)",1,0.0278915317384165,0.0055802820008835,257,287,289,289
42292,clear nocolor B,clear,"(60, 77)",1,0.015506467476703,0.003884207441287,229,239,289,289
42292,move blue C,move,"(82, 84)",1,0.023762220511424,0.0065433815945834,252,280,289,289
42292,clear nocolor A1,clear,"(92, 77)",1,0.0197100298830915,0.0083253877326314,244,284,289,289
42292,cover red all,cover,"(75, 73)",1,0.0161686139617178,0.002045765282224,232,249,289,289
43580,fill nocolor A1,fill,"(96, 56)",1,0.0212991623756053,0.005726698944101,247,263,289,289
43580,move green C1,move,"(64, 85)",1,0.0386584579532916,0.0074069379441528,268,275,289,289
43580,clear nocolor C,clear,"(84, 78)",1,0.0132066159598197,0.0035798064963565,217,221,289,289
43580,uncover blue all,uncover,"(77, 86)",1,0.0174079665789302,0.004207365214503,235,263,289,289
43580,cover green all,cover,"(103, 69)",1,0.010307548076393,0.0029023337422649,196,274,289,289
43580,uncover red all,uncover,"(64, 78)",1,0.0327521552689964,0.005123787485236,262,282,289,289
43580,cover blue all,cover,"(72, 56)",0,0.0005396442904833,0.0019586048088656,79,243,289,289
43580,move red C,move,"(77, 85)",1,0.020813650358599,0.0045233017014097,245,275,289,289
43580,fill nocolor B1,fill,"(63, 78)",1,0.0212991623756052,0.0041769469188949,247,255,289,289
43580,clear nocolor B2,clear,"(64, 54)",1,0.028374681380026,0.0067215958865829,259,287,289,289
14189,move red A,move,"(96, 74)",1,0.0237793035748417,0.0089957163790928,269,302,306,306
14189,fill nocolor A2,fill,"(96, 58)",1,0.0197184696078746,0.0065198435214093,261,288,306,306
14189,move green A1,move,"(76, 74)",1,0.0379930282475557,0.0065657935959082,285,297,306,306
14189,uncover red all,uncover,"(76, 74)",1,0.0249976370736751,0.0040967326462257,270,292,306,306
14189,clear nocolor C,clear,"(67, 82)",1,0.0131041193551215,0.0048838710475796,234,291,306,306
14189,cover green all,cover,"(105, 71)",1,0.0079158697063947,0.0698603284141212,184,294,306,306
14189,uncover blue all,uncover,"(88, 50)",0,0.0005372245248701,0.003037142932975,113,0,306,306
14189,clear nocolor A2,clear,"(75, 74)",1,0.0197184696078746,0.0042728956182341,261,276,306,306
14189,fill nocolor C2,fill,"(68, 87)",1,0.0197184696078746,0.0039908858459641,261,267,306,306
14189,cover red all,cover,"(88, 87)",1,0.0119304163586595,0.0010852555269157,227,258,306,306
19737,uncover green all,uncover,"(83, 89)",1,0.022376514849217,0.0032681366341267,249,264,289,289
19737,clear nocolor A,clear,"(55, 106)",1,0.0130345714708686,0.0038164307890621,217,236,289,289
19737,cover green all,cover,"(102, 86)",1,0.011037130628215,0.0776344457509501,204,279,289,289
19737,move red B1,move,"(87, 79)",1,0.0199230924162177,0.0063505611218584,244,278,289,289
19737,fill nocolor B1,fill,"(74, 79)",1,0.020716053551622,0.0041685334310368,247,250,289,289
19737,uncover red all,uncover,"(55, 79)",1,0.0183181899681587,0.0029662895411663,239,247,289,289
19737,move green C1,move,"(102, 106)",0,0.0007468027065275,0.0031785892371822,84,0,289,289
19737,cover blue all,cover,"(87, 89)",1,0.0118399892312997,0.0093849966603054,210,285,289,289
19737,fill nocolor C2,fill,"(85, 106)",1,0.019369516088743,0.0085308773575445,244,282,289,289
19737,clear nocolor A1,clear,"(55, 76)",1,0.019505005968348,0.0043656582007823,244,259,289,289
56864,clear nocolor C,clear,"(84, 63)",1,0.0131359349387603,0.0098074428083826,217,240,289,289
56864,move red C1,move,"(60, 69)",0,0.0007902224573474,0.000673061808412,70,72,289,289
56864,uncover blue all,uncover,"(84, 85)",1,0.0156431986420563,0.0095943098264571,229,248,289,289
56864,clear nocolor B,clear,"(60, 54)",1,0.0155536705936263,0.0108814561539631,229,242,289,289
56864,fill nocolor A2,fill,"(60, 77)",1,0.0210573448682458,0.0133780482821637,247,252,289,289
56864,cover red all,cover,"(72, 74)",1,0.0118027913790649,0.0125561760951557,209,265,289,289
56864,fill nocolor B1,fill,"(81, 80)",1,0.0210573448682458,0.0183548642100768,247,264,289,289
56864,uncover red all,uncover,"(61, 101)",1,0.020701713581524,0.0084702476699486,245,246,289,289
56864,cover blue all,cover,"(72, 43)",1,0.0200576093270502,0.0283395423374137,244,281,289,289
56864,move red B,move,"(76, 42)",1,0.0340470874991447,0.03228217429951,265,285,289,289
66473,cover red all,cover,"(90, 76)",1,0.0139687628045958,0.0035575540316424,240,295,306,306
66473,fill nocolor B2,fill,"(73, 63)",1,0.0194890093866161,0.0036297654338373,261,284,306,306
66473,uncover red all,uncover,"(66, 82)",1,0.0223815361854427,0.003400967282146,266,266,306,306
66473,fill nocolor C1,fill,"(79, 67)",1,0.0194890093866161,0.0035376559764367,261,267,306,306
66473,move blue B,move,"(90, 60)",1,0.0280974122427092,0.0038440952599765,276,300,306,306
66473,move blue A,move,"(95, 72)",0,0.0005577597557212,0.0032278724823789,87,0,306,306
66473,uncover green all,uncover,"(68, 48)",1,0.0183194953851277,0.0034846870530806,256,284,306,306
66473,clear nocolor A1,clear,"(73, 60)",1,0.0194890093866161,0.0036163525945099,261,277,306,306
66473,clear nocolor C,clear,"(66, 72)",1,0.0130266869708428,0.003330149523965,234,244,306,306
66473,cover blue all,cover,"(73, 72)",1,0.0075235687492695,0.0038581475141429,178,297,306,306
67590,cover green all,cover,"(55, 54)",1,0.0117647058823529,0.0309802725281191,187,266,272,272
67590,move blue C2,move,"(98, 89)",1,0.0222222222222222,0.043121279491721,227,266,272,272
67590,clear nocolor B,clear,"(101, 89)",1,0.0166666666666666,0.0220989101618887,212,254,272,272
67590,uncover red all,uncover,"(55, 54)",1,0.0181818181818181,0.2666860051360961,217,271,272,272
67590,fill nocolor B2,fill,"(98, 83)",1,0.0256410256410256,0.0768127175707043,233,269,272,272
67590,clear nocolor C,clear,"(85, 83)",1,0.0166666666666666,0.0189351197963118,212,252,272,272
67590,move red C1,move,"(69, 67)",1,0.0285714285714285,0.0072222491223679,237,255,272,272
67590,fill nocolor C2,fill,"(68, 89)",1,0.0256410256410256,0.0027921048532056,233,238,272,272
67590,uncover blue all,uncover,"(69, 102)",1,0.0277777777777777,0.0280660653455925,236,266,272,272
67590,cover blue all,cover,"(55, 74)",1,0.0181818181818181,0.0521032907304311,217,269,272,272
97388,uncover green all,uncover,"(73, 74)",1,0.0249999999999999,0.0054107361126205,232,255,272,272
97388,cover red all,cover,"(72, 55)",1,0.0144927536231884,0.1356920485927935,203,265,272,272
97388,move blue B,move,"(75, 98)",1,0.0161290322580645,0.0043055525435778,210,212,272,272
97388,cover blue all,cover,"(103, 71)",1,0.0192307692307692,0.0007832055270406,220,260,272,272
97388,move blue C,move,"(101, 85)",1,0.0227272727272727,0.010919855300827,228,266,272,272
97388,fill nocolor B1,fill,"(58, 61)",1,0.0238095238095237,0.0047999984671466,230,240,272,272
97388,clear nocolor B,clear,"(64, 50)",1,0.0166666666666666,0.005271953184556,212,231,272,272
97388,uncover red all,uncover,"(79, 98)",1,0.0227272727272727,0.6798278468198992,228,271,272,272
97388,clear nocolor C2,clear,"(69, 102)",1,0.0222222222222222,0.0056459206744858,227,251,272,272
97388,fill nocolor C2,fill,"(103, 70)",1,0.0256410256410256,0.0128588744418847,233,270,272,272
26365,uncover green all,uncover,"(65, 87)",1,0.0333333333333333,0.0215003555608866,259,268,289,289
26365,clear nocolor C,clear,"(102, 54)",1,0.0138888888888888,0.0146028986837963,217,259,289,289
26365,uncover red all,uncover,"(88, 86)",1,0.02,0.016111118220183,239,269,289,289
26365,move green A2,move,"(79, 94)",1,0.027027027027027,0.0175579833468775,252,268,289,289
26365,cover red all,cover,"(79, 60)",1,0.0175438596491228,0.0168612499019135,232,268,289,289
26365,move red B2,move,"(107, 81)",1,0.0222222222222222,0.0302248249182139,244,279,289,289
26365,fill nocolor B2,fill,"(77, 82)",1,0.0238095238095238,0.0141480685812335,247,251,289,289
26365,fill nocolor C1,fill,"(65, 84)",1,0.0238095238095238,0.0144108666704361,247,257,289,289
26365,cover blue all,cover,"(105, 70)",1,0.0135135135135135,0.0134473314055354,215,267,289,289
26365,clear nocolor A2,clear,"(77, 54)",1,0.0333333333333333,0.0148115375633011,259,264,289,289
62686,fill nocolor C2,fill,"(68, 88)",1,0.0256410256410256,0.0285132090538004,233,264,272,272
62686,fill nocolor A2,fill,"(73, 76)",1,0.0256410256410256,0.0038106314318045,233,238,272,272
62686,uncover blue all,uncover,"(77, 75)",1,0.0227272727272727,0.0067593383850977,228,253,272,272
62686,move green A,move,"(98, 92)",1,0.027027027027027,0.0363102098035842,235,263,272,272
62686,move red C,move,"(90, 88)",1,0.0212765957446808,0.0232870185825487,225,253,272,272
62686,cover green all,cover,"(79, 80)",1,0.0217391304347826,0.0374067100697332,226,267,272,272
62686,clear nocolor B2,clear,"(81, 96)",1,0.0222222222222222,0.0304029750156597,227,266,272,272
62686,uncover red all,uncover,"(79, 96)",1,0.0333333333333333,0.3932410129454876,242,271,272,272
62686,clear nocolor A,clear,"(73, 96)",1,0.0166666666666666,0.0039318002991718,212,222,272,272
62686,cover blue all,cover,"(90, 55)",1,0.0175438596491228,0.4694366316430541,215,271,272,272
31601,move red B,move,"(88, 68)",1,0.0112841831710984,0.0041506736108552,212,245,272,272
31601,uncover green all,uncover,"(73, 54)",1,0.0158268524110583,0.0050744836488436,236,261,272,272
31601,uncover red all,uncover,"(88, 107)",1,0.0139379257666488,0.0050928058131987,227,261,272,272
31601,cover blue all,cover,"(87, 107)",0,0.0020656676787906,0.00270041371285,48,0,272,272
31601,cover green all,cover,"(58, 79)",0,0.0017304063850316,0.0028409803372519,34,0,272,272
31601,clear nocolor C,clear,"(88, 81)",1,0.0113218071887224,0.0040319435507407,212,213,272,272
31601,fill nocolor C2,fill,"(65, 107)",1,0.0126813181313885,0.0041672788457523,230,233,272,272
31601,clear nocolor B,clear,"(97, 54)",1,0.0113218071887223,0.0048211198562366,212,250,272,272
31601,fill nocolor B1,fill,"(65, 98)",1,0.0126813181313885,0.004343394434061,230,243,272,272
31601,move blue C,move,"(87, 74)",-1,0.0004103345424653,0.0034766154123212,0,0,272,272
67505,fill nocolor B1,fill,"(77, 80)",1,0.0256410256410256,0.0085315625773244,233,233,272,272
67505,uncover blue all,uncover,"(77, 58)",1,0.0166666666666666,0.0190326184575624,212,267,272,272
67505,uncover red all,uncover,"(76, 74)",1,0.0312499999999999,0.0194720140832503,240,250,272,272
67505,fill nocolor A1,fill,"(75, 37)",1,0.0256410256410256,0.0429125187949048,233,271,272,272
67505,cover blue all,cover,"(103, 37)",1,0.024390243902439,0.0206816622960165,231,248,272,272
67505,cover green all,cover,"(55, 74)",1,0.0136986301369862,0.0077643614916509,199,211,272,272
67505,move green C,move,"(60, 105)",1,0.0166666666666666,0.0051556757613879,212,212,272,272
67505,clear nocolor A2,clear,"(75, 74)",1,0.0222222222222222,0.0144515055918088,227,243,272,272
67505,move red C2,move,"(79, 105)",1,0.0196078431372548,0.0108789308982971,221,231,272,272
67505,clear nocolor C,clear,"(86, 64)",1,0.0208333333333333,0.0127108064931106,224,236,272,272
39232,uncover blue all,uncover,"(54, 98)",1,0.0333333333333333,0.0031814346955567,242,245,272,272
39232,clear nocolor B,clear,"(97, 105)",1,0.0166666666666666,0.0062151979824625,212,271,272,272
39232,move blue B,move,"(66, 98)",1,0.0238095238095238,0.0047066071343367,230,246,272,272
39232,fill nocolor A2,fill,"(78, 77)",1,0.0256410256410256,0.0045658320868738,233,239,272,272
39232,uncover green all,uncover,"(54, 77)",1,0.0227272727272727,0.0041732577775731,228,245,272,272
39232,cover red all,cover,"(75, 36)",1,0.024390243902439,0.004959367894255,231,264,272,272
39232,move green C,move,"(82, 105)",1,0.027027027027027,0.0073349897510823,235,256,272,272
39232,clear nocolor B1,clear,"(97, 83)",1,0.0333333333333333,0.0151818483322551,242,269,272,272
39232,fill nocolor B2,fill,"(97, 81)",1,0.0256410256410256,0.0119900033219289,233,271,272,272
39232,cover green all,cover,"(78, 55)",1,0.0175438596491228,0.0024228032994915,215,231,272,272
36524,uncover blue all,uncover,"(77, 75)",1,0.0229383729188499,0.0062659924188559,279,295,306,306
36524,fill nocolor A2,fill,"(92, 76)",1,0.0148279757528498,0.0268625837088479,261,303,306,306
36524,move blue A1,move,"(92, 76)",0,0.0018209700337973,0.0022081488514507,93,238,306,306
36524,clear nocolor C,clear,"(67, 61)",1,0.0112075031299971,0.0035252676820996,234,238,306,306
36524,cover green all,cover,"(104, 66)",1,0.011528036324535,0.1109467659612974,239,303,306,306
36524,move green A2,move,"(77, 74)",0,0.0017745280217048,0.0020379625615869,77,90,306,306
36524,clear nocolor B,clear,"(60, 66)",1,0.011207503129997,0.0031195454100976,234,234,306,306
36524,fill nocolor B2,fill,"(67, 61)",0,0.0015084963375374,0.0017615886301428,45,55,306,306
36524,cover red all,cover,"(72, 74)",1,0.0096553896123319,0.011244175868138,222,298,306,306
36524,uncover red all,uncover,"(73, 54)",1,0.0209953967788388,0.0172066944390679,274,304,306,306
78276,cover blue all,cover,"(60, 37)",1,0.010204081632653,0.0103265834980861,174,222,272,272
78276,uncover red all,uncover,"(80, 92)",1,0.0208333333333333,0.0136310163265284,224,238,272,272
78276,move red C,move,"(90, 107)",1,0.015625,0.0119634412181394,208,235,272,272
78276,clear nocolor B1,clear,"(60, 92)",1,0.0222222222222222,0.0083251731976034,227,228,272,272
78276,uncover blue all,uncover,"(76, 92)",1,0.037037037037037,0.0207664739039789,245,254,272,272
78276,cover green all,cover,"(55, 42)",1,0.0175438596491228,0.0069028000460838,215,217,272,272
78276,clear nocolor A2,clear,"(76, 107)",1,0.0222222222222222,0.0088313485376737,227,228,272,272
78276,fill nocolor A2,fill,"(55, 77)",1,0.0256410256410256,0.0089299193539843,233,233,272,272
78276,fill nocolor C2,fill,"(104, 69)",1,0.0238095238095238,0.025904154061059,230,266,272,272
78276,move green C1,move,"(60, 66)",1,0.027027027027027,0.0326693111913022,235,263,272,272
99977,move green B,move,"(73, 48)",0,0.0006239942554876,0.0007691151065949,60,102,272,272
99977,cover red all,cover,"(70, 64)",1,0.0126879667457898,0.0236045136333631,198,267,272,272
99977,fill nocolor C1,fill,"(70, 85)",1,0.0224430129977013,0.0183320052237196,233,259,272,272
99977,cover green all,cover,"(56, 55)",1,0.0164084218924667,0.0113038909941487,216,235,272,272
99977,uncover green all,uncover,"(77, 58)",1,0.022630163579133,0.0195193086989731,232,255,272,272
99977,uncover blue all,uncover,"(82, 101)",1,0.022630163579133,0.0134291906172429,232,248,272,272
99977,clear nocolor B2,clear,"(82, 48)",1,0.0278497551633789,0.0117851808423958,242,244,272,272
99977,fill nocolor A2,fill,"(78, 59)",1,0.0224430129977013,0.0165412544237491,233,251,272,272
99977,clear nocolor A,clear,"(56, 79)",1,0.0131300387869505,0.009875398831771,200,218,272,272
99977,move blue C,move,"(81, 85)",1,0.0176482513350065,0.0245025103698282,220,260,272,272
50905,cover green all,cover,"(71, 88)",1,0.0153846153846153,0.0044162234837999,241,243,306,306
50905,cover red all,cover,"(75, 76)",1,0.0099999999999999,0.0071583027329855,206,240,306,306
50905,clear nocolor A,clear,"(77, 79)",1,0.0138888888888888,0.0120071925719177,234,259,306,306
50905,uncover red all,uncover,"(85, 79)",1,0.0333333333333333,0.0284086989874189,276,289,306,306
50905,clear nocolor C1,clear,"(85, 73)",1,0.0222222222222222,0.0093046016282015,261,269,306,306
50905,fill nocolor C1,fill,"(83, 84)",1,0.0222222222222222,0.0162911392426801,261,276,306,306
50905,fill nocolor B2,fill,"(85, 65)",1,0.0222222222222222,0.0299280475530046,261,292,306,306
50905,move blue B,move,"(72, 79)",1,0.037037037037037,0.0496153736136376,279,301,306,306
50905,uncover blue all,uncover,"(82, 84)",1,0.025,0.0165536788356042,266,275,306,306
50905,move red B2,move,"(87, 63)",1,0.032258064516129,0.0246359979847429,275,285,306,306
75842,cover blue all,cover,"(75, 41)",1,0.0125,0.0074024327160201,209,236,289,289
75842,fill nocolor B1,fill,"(59, 96)",1,0.0222222222222222,0.0082136580422593,244,248,289,289
75842,cover green all,cover,"(72, 55)",1,0.0101010101010101,0.0109304260447785,190,254,289,289
75842,clear nocolor A,clear,"(72, 96)",1,0.0138888888888888,0.0094204994185636,217,245,289,289
75842,clear nocolor C,clear,"(102, 81)",1,0.0138888888888888,0.0138901661250493,217,251,289,289
75842,fill nocolor A1,fill,"(79, 54)",1,0.0238095238095238,0.023851510252113,247,266,289,289
75842,move blue C2,move,"(104, 88)",1,0.037037037037037,0.0353294471674657,262,279,289,289
75842,move blue C,move,"(79, 85)",1,0.03125,0.0366615750599659,257,281,289,289
75842,uncover green all,uncover,"(75, 76)",1,0.037037037037037,0.0178965342710388,262,274,289,289
75842,uncover red all,uncover,"(80, 96)",1,0.02,0.0115206934868963,239,263,289,289
49589,uncover blue all,uncover,"(75, 38)",0,0.0017116051655972,0.0035046998528294,120,252,289,289
49589,uncover green all,uncover,"(56, 91)",1,0.0168279443147903,0.0068672077821936,239,245,289,289
49589,move red B1,move,"(56, 62)",1,0.0178703737888082,0.0108131117841824,244,253,289,289
49589,clear nocolor B1,clear,"(80, 65)",1,0.0173292807975299,0.0162857291066484,244,276,289,289
49589,clear nocolor B2,clear,"(81, 62)",1,0.0173292807975299,0.017043365725873,244,277,289,289
49589,move red A2,move,"(56, 57)",1,0.0179826727155149,0.0103109972862823,244,257,289,289
49589,fill nocolor C2,fill,"(58, 89)",1,0.0182757328928819,0.0069478644244936,247,247,289,289
49589,cover green all,cover,"(58, 54)",1,0.0136641527746958,0.0099125222609552,227,251,289,289
49589,fill nocolor A2,fill,"(56, 57)",1,0.0182757328928818,0.0080250121335111,247,250,289,289
49589,cover blue all,cover,"(75, 40)",0,0.0005667158309507,0.0011189267928716,21,168,289,289
53463,fill nocolor A1,fill,"(75, 56)",1,0.0238095238095238,0.0349611587963097,247,288,289,289
53463,fill nocolor C1,fill,"(65, 84)",1,0.0238095238095238,0.0050395355897574,247,247,289,289
53463,clear nocolor A,clear,"(55, 97)",1,0.0138888888888889,0.0055786260108449,217,219,289,289
53463,clear nocolor C2,clear,"(105, 84)",1,0.0222222222222222,0.0184790401345853,244,270,289,289
53463,move green A1,move,"(80, 56)",1,0.0416666666666666,0.0351116410611709,265,278,289,289
53463,move red C2,move,"(55, 87)",1,0.0163934426229508,0.0174604955907896,228,270,289,289
53463,uncover red all,uncover,"(64, 97)",1,0.0142857142857143,0.008631448450487,219,232,289,289
53463,cover red all,cover,"(64, 88)",1,0.027027027027027,0.0133511745063984,252,256,289,289
53463,cover blue all,cover,"(80, 57)",1,0.0172413793103448,0.0164872993189187,231,249,289,289
53463,uncover blue all,uncover,"(55, 97)",1,0.0181818181818181,0.0075660034698686,234,244,289,289
27371,move green A,move,"(58, 104)",0,0.0004278440163906,0.0033987421088818,68,0,272,272
27371,cover blue all,cover,"(107, 52)",1,0.0097079968812526,0.0722536512185998,174,264,272,272
27371,move red C2,move,"(58, 89)",1,0.0478185876354275,0.0050587503475341,257,257,272,272
27371,fill nocolor B2,fill,"(70, 64)",1,0.0223354509688636,0.0042722857296226,233,236,272,272
27371,clear nocolor B,clear,"(61, 54)",1,0.0131022425953683,0.0041058299254785,200,219,272,272
27371,uncover green all,uncover,"(70, 87)",1,0.0149174308973748,0.003978355861633,209,219,272,272
27371,uncover red all,uncover,"(70, 87)",1,0.0205949153153572,0.0028408475538933,228,237,272,272
27371,cover red all,cover,"(70, 89)",1,0.0117449765697727,0.0022950385737029,192,225,272,272
27371,clear nocolor A,clear,"(72, 89)",1,0.0155011697391179,0.0047969083058257,212,232,272,272
27371,fill nocolor B1,fill,"(72, 43)",1,0.0223354509688636,0.0066382064786718,233,256,272,272
20272,fill nocolor C2,fill,"(70, 68)",-1,4.009457238297694e-05,0.0026666663223498,0,0,306,306
20272,move red C1,move,"(97, 84)",1,0.0363371773612763,0.0197754342446115,288,294,306,306
20272,cover green all,cover,"(107, 87)",1,0.0133156403707167,0.1281996780253957,240,299,306,306
20272,clear nocolor A2,clear,"(75, 54)",1,0.0180937726880311,0.0119328938012829,261,302,306,306
20272,clear nocolor C1,clear,"(67, 65)",1,0.0180937726880311,0.0039916933568464,261,266,306,306
20272,cover blue all,cover,"(73, 54)",1,0.0131565576653634,0.0015789184920164,239,299,306,306
20272,move red A1,move,"(94, 56)",1,0.0363371773612762,0.0507311675986049,288,304,306,306
20272,uncover green all,uncover,"(72, 55)",1,0.0209744901514765,0.0047640496132276,266,293,306,306
20272,fill nocolor B2,fill,"(67, 65)",1,0.0180937726880311,0.0036201881333674,261,262,306,306
20272,uncover blue all,uncover,"(86, 87)",1,0.0173851875301496,0.0031684796988441,256,281,306,306
19487,cover red all,cover,"(78, 38)",1,0.0164704021106709,0.0222751744367513,216,256,272,272
19487,move green C,move,"(72, 84)",1,0.0181422111841762,0.026200979004632,221,266,272,272
19487,cover green all,cover,"(75, 55)",1,0.0177075341985516,0.0166512270786408,220,251,272,272
19487,uncover blue all,uncover,"(56, 54)",1,0.0251223417910254,0.0141862938618963,236,246,272,272
19487,fill nocolor A2,fill,"(56, 94)",1,0.0209977366911331,0.0062067251932924,230,233,272,272
19487,fill nocolor B1,fill,"(100, 61)",1,0.0225734124255634,0.0302557628426406,233,263,272,272
19487,clear nocolor A2,clear,"(77, 61)",1,0.0280634082441237,0.017926046335589,242,254,272,272
19487,move red A1,move,"(56, 54)",0,0.0005665904829066,0.0007268767747637,71,80,272,272
19487,uncover green all,uncover,"(56, 94)",1,0.0185518072674516,0.0065835826566339,222,226,272,272
19487,clear nocolor C2,clear,"(105, 84)",1,0.0198826135471267,0.0126230101722952,227,244,272,272
20340,fill nocolor C2,fill,"(64, 88)",1,0.0238095238095238,0.0042575759245966,247,252,289,289
20340,move blue B,move,"(73, 78)",1,0.0208333333333333,0.0058979482975823,241,279,289,289
20340,clear nocolor A2,clear,"(75, 83)",1,0.0222222222222222,0.0043656612948639,244,252,289,289
20340,uncover red all,uncover,"(77, 92)",1,0.0277777777777777,0.0040770884817505,253,279,289,289
20340,uncover blue all,uncover,"(73, 92)",1,0.0222222222222222,0.2341824249430907,244,288,289,289
20340,clear nocolor B2,clear,"(64, 78)",1,0.0222222222222222,0.0044778633855251,244,258,289,289
20340,cover blue all,cover,"(102, 51)",1,0.0178571428571428,0.0030461646341797,233,279,289,289
20340,move green C,move,"(72, 84)",1,0.0192307692307692,0.0041546855566978,237,242,289,289
20340,cover green all,cover,"(102, 71)",1,0.0138888888888888,0.0023079168264555,217,277,289,289
20340,fill nocolor C1,fill,"(69, 84)",1,0.0238095238095238,0.0044417073549553,247,260,289,289
68825,uncover blue all,uncover,"(90, 77)",0,0.0006512664107554,0.0009299286856368,108,176,306,306
68825,clear nocolor C,clear,"(86, 81)",1,0.0130248987905402,0.013068648419356,234,262,306,306
68825,cover blue all,cover,"(95, 57)",1,0.0117263680380957,0.0118899665042866,226,288,306,306
68825,move green A,move,"(78, 77)",1,0.0210616614763408,0.0136374016392492,264,275,306,306
68825,fill nocolor A2,fill,"(56, 77)",1,0.0194837449441209,0.0110571875829174,261,262,306,306
68825,fill nocolor C2,fill,"(86, 89)",1,0.0194837449441209,0.0185406395206121,261,283,306,306
