ID,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
31601.0,clear nocolor C,"(88, 81)",59,14,"[(85, 78) (85, 81) (85, 40) (85, 47) (85, 55) (85, 98) (84, 47) (84, 54)
 (84, 64) (84, 79) (85, 54) (85, 57) (85, 59) (85, 64) (85, 74) (85, 79)
 (86, 47) (86, 54) (86, 64) (86, 79) (87, 40) (87, 55) (87, 57) (87, 59)
 (87, 74) (88, 40) (88, 55) (88, 57) (88, 59) (88, 74) (84, 40) (84, 59)
 (86, 40) (86, 59) (87, 54) (87, 64) (88, 54) (88, 64) (84, 98) (86, 98)
 (87, 98) (88, 98) (84, 55) (84, 57) (84, 74) (84, 78) (84, 81) (86, 55)
 (86, 57) (86, 74) (86, 78) (86, 81) (87, 47) (87, 78) (87, 79) (87, 81)
 (88, 47) (88, 78) (88, 79)]",1.0,60,28.87,"['clear nocolor C2', 'move green B2', 'fill nocolor B2', 'uncover red all', 'move green B', 'move red B', 'move red A2', 'cover green all', 'move red A', 'move red A1', 'move red B2', 'move red C1', 'move red B1', 'clear nocolor C']"
31601.0,fill nocolor C2,"(65, 107)",36,14,"[(85, 70) (84, 69) (85, 107) (86, 69) (85, 69) (92, 107) (96, 107)
 (97, 107) (99, 107) (75, 69) (75, 70) (75, 107) (92, 69) (92, 70)
 (96, 69) (96, 70) (97, 69) (97, 70) (99, 69) (99, 70) (73, 70) (77, 69)
 (65, 70) (72, 69) (72, 70) (82, 69) (82, 70) (84, 107) (86, 107) (84, 70)
 (86, 70) (72, 107) (73, 107) (77, 107) (82, 107) (65, 69)]",1.0,42,20.879,"['fill nocolor C2', 'move green A', 'move green B1', 'clear nocolor B2', 'move blue C', 'move green A2', 'clear nocolor B', 'move blue C2', 'uncover blue all', 'move green C2', 'move green A1', 'move green C1', 'move green C', 'uncover green all']"
31601.0,clear nocolor B,"(97, 54)",15,6,"[(96, 107) (97, 107) (99, 107) (96, 40) (96, 54) (96, 55) (96, 57)
 (96, 59) (96, 66) (96, 67) (96, 68) (96, 69) (96, 70) (96, 74) (97, 40)]",1.0,60,29.699,"['cover blue all', 'move blue A', 'move blue A1', 'clear nocolor B', 'clear nocolor B1', 'fill nocolor A1']"
31601.0,fill nocolor B1,"(65, 98)",19,12,"[(99, 98) (99, 78) (99, 79) (65, 78) (85, 78) (92, 98) (75, 98) (85, 98)
 (92, 78) (92, 79) (73, 78) (75, 78) (75, 79) (77, 79) (84, 79) (85, 79)
 (86, 79) (82, 98) (65, 79)]",1.0,42,20.728,"['move green A', 'move green B1', 'clear nocolor B2', 'move green A2', 'fill nocolor B1', 'uncover blue all', 'move green C2', 'move green A1', 'move blue B1', 'move green C1', 'move green C', 'uncover green all']"
31601.0,move blue C,"(87, 74)",249,7,"[(97, 107) (97, 66) (97, 67) (97, 68) (97, 69) (97, 70) (65, 66) (65, 68)
 (77, 69) (65, 67) (65, 70) (72, 69) (72, 70) (77, 66) (77, 68) (82, 69)
 (82, 70) (77, 57) (58, 66) (58, 68) (77, 55) (77, 74) (58, 55) (72, 107)
 (77, 98) (77, 107) (82, 107) (65, 69) (65, 107) (72, 66) (72, 67)
 (72, 68) (77, 67) (77, 70) (77, 78) (77, 81) (82, 66) (82, 67) (82, 68)
 (58, 69) (58, 67) (58, 70) (58, 78) (58, 81) (58, 57) (58, 74) (58, 98)
 (58, 107) (72, 55) (72, 74) (85, 66) (85, 68) (96, 98) (97, 98) (65, 81)
 (77, 40) (84, 68) (86, 66) (87, 70) (88, 69) (92, 55) (97, 78) (75, 55)
 (75, 74) (85, 70) (99, 98) (72, 40) (72, 57) (72, 59) (77, 54) (84, 69)
 (85, 107) (86, 69) (92, 57) (96, 81) (97, 47) (97, 64) (97, 81) (99, 78)
 (65, 78) (85, 69) (85, 78) (85, 81) (92, 98) (92, 107) (96, 107)
 (99, 107) (75, 69) (75, 70) (75, 98) (75, 107) (85, 55) (85, 98) (92, 66)
 (92, 67) (92, 68) (92, 69) (92, 70) (92, 78) (92, 81) (96, 55) (96, 57)
 (96, 66) (96, 67) (96, 68) (96, 69) (96, 70) (96, 74) (97, 40) (97, 54)
 (97, 55) (97, 57) (97, 59) (97, 74) (99, 55) (99, 57) (99, 66) (99, 67)
 (99, 68) (99, 69) (99, 70) (99, 74) (73, 66) (73, 67) (73, 68) (73, 70)
 (73, 78) (73, 81) (75, 66) (75, 67) (75, 68) (75, 78) (75, 81) (77, 47)
 (77, 64) (77, 79) (82, 40) (82, 55) (82, 57) (82, 59) (82, 74) (85, 57)
 (85, 74) (88, 55) (88, 57) (88, 74) (65, 40) (72, 64) (82, 54) (87, 107)
 (88, 107) (58, 47) (58, 59) (65, 55) (65, 64) (73, 74) (82, 47) (82, 81)
 (84, 67) (86, 67) (82, 98) (84, 107) (86, 107) (58, 54) (65, 79) (65, 98)
 (73, 57) (82, 78) (82, 79) (84, 70) (86, 70) (87, 66) (87, 67) (87, 68)
 (88, 66) (88, 67) (88, 68) (72, 98) (73, 98) (73, 107) (84, 98) (86, 98)
 (88, 98) (65, 54) (65, 59) (72, 47) (72, 78) (72, 79) (72, 81) (73, 69)
 (84, 55) (84, 57) (84, 74) (84, 78) (84, 81) (86, 55) (86, 57) (86, 74)
 (86, 78) (86, 81) (88, 78) (88, 81) (58, 64) (58, 79) (65, 57) (65, 74)
 (75, 40) (75, 59) (92, 54) (96, 79) (99, 47) (99, 64) (75, 54) (92, 40)
 (92, 59) (96, 47) (96, 64) (99, 79) (73, 40) (75, 64) (85, 40) (85, 47)
 (92, 47) (92, 64) (92, 79) (96, 40) (96, 54) (96, 59) (99, 40) (99, 54)
 (99, 59) (75, 47) (75, 79) (84, 47) (84, 54) (84, 64) (84, 79) (85, 54)
 (85, 59) (85, 64) (85, 79) (86, 47) (86, 54) (86, 64) (86, 79) (87, 40)
 (87, 55) (87, 57) (87, 59)]",-1.0,48,23.0,"['clear nocolor C2', 'move blue A', 'move blue A1', 'move red A', 'move red A1', 'fill nocolor A1', 'clear nocolor C']"
67505.0,fill nocolor B1,"(77, 80)",36,14,"[(82, 42) (99, 42) (99, 61) (99, 80) (65, 42) (75, 42) (82, 61) (65, 61)
 (75, 61) (92, 42) (92, 61) (92, 80) (103, 42) (103, 61) (103, 80)
 (107, 42) (107, 61) (107, 80) (75, 80) (76, 61) (76, 80) (86, 61)
 (86, 80) (55, 42) (55, 61) (55, 80) (72, 42) (76, 42) (77, 42) (86, 42)
 (88, 42) (82, 80) (65, 80) (72, 61) (72, 80) (77, 61)]",1.0,39,18.952,"['move blue B2', 'move blue C', 'move blue A1', 'move red B', 'fill nocolor B1', 'move blue C2', 'uncover blue all', 'clear nocolor A2', 'move blue B1', 'move red B1', 'move blue B', 'cover red all', 'clear nocolor A', 'move blue C1']"
67505.0,uncover blue all,"(77, 58)",15,9,"[(55, 58) (65, 61) (55, 61) (55, 80) (55, 81) (55, 85) (55, 89) (88, 105)
 (60, 61) (60, 80) (65, 57) (65, 58) (65, 74) (72, 74) (77, 57)]",1.0,60,28.644,"['move blue B2', 'move blue C', 'move blue A1', 'move blue C2', 'cover green all', 'uncover blue all', 'move blue B1', 'move blue B', 'move blue C1']"
67505.0,uncover red all,"(76, 74)",8,12,"[(86, 102) (55, 54) (76, 57) (55, 74) (86, 105) (60, 47) (60, 64) (76, 54)]",1.0,32,15.678,"['move red C2', 'uncover red all', 'move red B', 'cover green all', 'move red A1', 'move green A1', 'move red B2', 'clear nocolor A2', 'move red C1', 'fill nocolor A1', 'move red B1', 'move red C']"
67505.0,fill nocolor A1,"(75, 37)",3,5,"[(75, 54) (75, 74) (77, 37)]",1.0,39,18.599,"['cover blue all', 'move green A1', 'clear nocolor A2', 'fill nocolor A1', 'uncover green all']"
67505.0,cover blue all,"(103, 37)",21,6,"[(82, 47) (92, 37) (99, 47) (99, 64) (103, 68) (98, 47) (98, 64) (107, 68)
 (75, 37) (76, 37) (79, 47) (79, 64) (75, 47) (75, 64) (92, 47) (92, 64)
 (92, 68) (98, 37) (98, 68) (99, 37) (99, 68)]",1.0,41,20.182,"['cover blue all', 'clear nocolor C1', 'move red A', 'move red A1', 'fill nocolor A1', 'clear nocolor C']"
