"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
36961,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,"NA",999,"move a block from row5cell04 to circlerow5cell07",5134,"NA"
36961,94846,"NA",1,"uncover green all","pass",14691,"pass",999,"NA",0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,"NA",999,"move a block from row5cell08 to circlerow3cell16",12897,"NA"
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all","pass",11729,"pass",999,12897,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,11729,999,"move a block from row5cell09 to circlerow4cell07",5323,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all","move",2844,"move a block from row4cell12 to circlerow3cell07",999,5323,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,2844,999,"move a block from row5cell12 to circlerow2cell07",9462,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all","move",3281,"move a block from row5cell14 to circlerow2cell16",999,9462,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,3281,999,"move a block from row5cell17 to circlerow1cell16",5034,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all","move",2704,"move a block from row6cell01 to circlerow1cell07",999,5034,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all",999,2704,999,"move a block from row5cell18 to circlerow6cell13",8560,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",1,"uncover green all","done",2704,"done",999,8560,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all",999,2704,999,"move a block from row5cell08 to circlerow5cell01",9523,1
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all","pass",11290,"pass",999,9523,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all",999,11290,999,"move a block from row5cell09 to circlerow3cell16",7048,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all","move",1992,"move a block from row5cell05 to circlerow4cell04",999,7048,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all",999,1992,999,"move a block from row6cell07 to circlerow5cell11",4250,0
36961,94846,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,red,white,white,white,white,white,red,blue,green,white,blue,blue,green,white,red,white,blue,blue,red,red,green,red,green,white,green,blue,blue,blue,green,green,red,red,green,white,red,red,blue,green,green",2,"cover red all","move",2308,"move a block from row6cell05 to circlerow4cell17",999,4250,0
