"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
33708,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1",999,"NA",999,"move a block from row5cell04 to circlerow5cell02",33650,"NA"
33708,12730,"NA",1,"fill nocolor A1","move",14579,"move a block from row6cell04 to circlerow4cell02",999,"NA",0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1",999,14579,999,"move a block from row6cell05 to circlerow3cell02",13747,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1","move",3168,"move a block from row6cell06 to circlerow3cell01",999,13747,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1",999,3168,999,"move a block from row5cell07 to circlerow4cell03",5036,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1","move",2844,"move a block from row6cell07 to circlerow2cell01",999,5036,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1",999,2844,999,"move a block from row5cell08 to circlerow3cell03",3895,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1","move",2834,"move a block from row6cell08 to circlerow2cell02",999,3895,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1",999,2834,999,"move a block from row5cell10 to circlerow2cell03",4881,0
33708,12730,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,green,green,white,white,white,white,blue,white,green,blue,white,white,blue,red,white,blue,white,white,blue,blue,white,green,blue,blue,green,red,red,red,green,red,red,green,white,green,white,red,blue,green,green,red,blue,red",1,"fill nocolor A1","move",3867,"move a block from row6cell10 to circlerow1cell02",999,4881,0
