"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
75842,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all",999,"NA",999,"move a block from row5cell04 to circlerow3cell06",4758,"NA"
75842,75815,"NA",1,"cover blue all","pass",10596,"pass",999,"NA",0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all",999,"NA",999,"move a block from row5cell09 to circlerow4cell08",5202,"NA"
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all","move",3094,"move a block from row4cell12 to circlerow4cell11",999,5202,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all",999,3094,999,"move a block from row6cell10 to circlerow4cell12",2986,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all","move",2170,"move a block from row6cell18 to circlerow3cell16",999,2986,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all",999,2170,999,"move a block from row6cell14 to circlerow5cell13",5723,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all","pass",9439,"pass",999,5723,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all",999,9439,999,"move a block from row6cell17 to circlerow5cell15",4904,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",1,"cover blue all","done",9439,"done",999,4904,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1",999,9439,999,"move a block from row4cell06 to circlerow6cell07",5676,1
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1","pass",9075,"pass",999,5676,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1",999,9075,999,"move a block from row5cell06 to circlerow5cell07",2260,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1","move",15215,"move a block from row6cell10 to circlerow5cell13",999,2260,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1",999,15215,999,"move a block from row5cell13 to circlerow4cell09",4963,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1","move",11731,"move a block from row6cell06 to circlerow4cell07",999,4963,0
75842,75815,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,green,white,white,white,blue,white,white,red,green,green,red,white,red,white,blue,green,white,blue,blue,white,white,white,red,white,white,red,green,red,green,red,red,white,blue,red,red,blue,blue,blue,green,blue,green,green,green",2,"fill nocolor B1",999,11731,999,"move a block from row5cell04 to circlerow4cell08",9109,0
