"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
89675,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,"NA",999,"move a block from row6cell13 to circlerow5cell16",14029,"NA"
"NA",80131,"NA",1,"move blue C2","move",7819,"move a block from row5cell12 to circlerow4cell16",999,"NA",0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,"NA",999,"move a block from row6cell12 to circlerow6cell18",12815,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","move",5871,"move a block from row5cell08 to circlerow5cell18",999,12815,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,5871,999,"move a block from row5cell01 to circlerow4cell18",3645,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","move",11827,"move a block from row4cell02 to circlerow4cell03",999,3645,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,11827,999,"move a block from row5cell02 to circlerow3cell16",3532,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","move",6241,"move a block from row5cell04 to circlerow5cell05",999,3532,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,6241,999,"move a block from row6cell04 to circlerow3cell17",2798,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","move",4407,"move a block from row5cell09 to circlerow5cell08",999,2798,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,4407,999,"move a block from row6cell09 to circlerow3cell18",2578,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","pass",21590,"pass",999,2578,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2",999,21590,999,"move a block from row5cell15 to circlerow6cell13",5656,0
89675,80131,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,white,blue,blue,red,green,white,green,white,blue,green,white,red,blue,white,white,green,white,red,white,red,green,green,blue,green,red,red,green,blue,red,red,blue,blue,red,blue,blue,green,white",1,"move blue C2","move",7711,"move a block from row6cell15 to circlerow2cell17",999,5656,0
