"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
55983,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,"NA",999,"move a block from row4cell03 to circlerow5cell11",25075,"NA"
55983,78957,"NA",1,"move blue B","pass",8763,"pass",999,"NA",0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,"NA",999,"move a block from row6cell14 to circlerow5cell10",12407,"NA"
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","move",5774,"move a block from row5cell07 to circlerow4cell09",999,12407,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,5774,999,"move a block from row6cell04 to circlerow5cell08",44640,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","move",10883,"move a block from row5cell03 to circlerow6cell05",999,44640,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,10883,999,"move a block from row5cell02 to circlerow5cell07",17146,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","move",7543,"move a block from row5cell17 to circlerow5cell06",999,17146,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,7543,999,"move a block from row6cell03 to circlerow4cell08",17852,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","move",5875,"move a block from row6cell17 to circlerow5cell05",999,17852,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,5875,999,"move a block from row5cell06 to circlerow4cell07",15303,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","move",5021,"move a block from row5cell05 to circlerow4cell10",999,15303,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B",999,5021,999,"move a block from row5cell13 to circlerow4cell11",20321,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",1,"move blue B","done",5021,"done",999,20321,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A",999,5021,999,"move a block from row4cell03 to circlerow5cell08",17626,1
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A","move",6502,"move a block from row5cell02 to circlerow5cell10",999,17626,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A",999,6502,999,"move a block from row5cell03 to circlerow5cell11",2235,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A","move",7096,"move a block from row6cell02 to circlerow4cell07",999,2235,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A",999,7096,999,"move a block from row6cell03 to circlerow4cell12",6472,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A","move",10108,"move a block from row5cell18 to circlerow4cell09",999,6472,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A",999,10108,999,"move a block from row5cell01 to circlerow4cell08",4853,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A","move",31511,"move a block from row6cell04 to circlerow4cell11",999,4853,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A",999,31511,999,"move a block from row6cell06 to circlerow4cell10",20066,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",2,"clear nocolor A","move",6890,"move a block from row6cell01 to row3cell12",999,20066,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",3,"fill nocolor C1",999,6890,999,"move a block from row4cell03 to circlerow5cell14",12105,1
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",3,"fill nocolor C1","move",6505,"move a block from row5cell02 to circlerow4cell13",999,12105,0
55983,78957,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,blue,white,white,white,white,white,white,white,white,white,white,white,green,white,white,white,green,blue,red,white,white,white,blue,white,red,white,white,blue,blue,white,red,green,blue,red,red,red,blue,blue,white,green,green,green,red,red,red,green,green,blue,red,green,blue,green",3,"fill nocolor C1",999,6505,999,"move a block from row5cell12 to circlerow4cell14",2974,0
