"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
27392,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A",999,"NA",999,"move a block from row5cell10 to circlerow5cell04",10042,"NA"
27392,82761,"NA",1,"move blue A","pass",14797,"pass",999,"NA",0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A",999,"NA",999,"move a block from row5cell13 to circlerow4cell04",5159,"NA"
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A","pass",8085,"pass",999,5159,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A",999,8085,999,"move a block from row5cell14 to circlerow3cell04",9867,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A","move",5404,"move a block from row6cell14 to circlerow2cell04",999,9867,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A",999,5404,999,"move a block from row5cell17 to circlerow5cell05",8364,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A","pass",8958,"pass",999,8364,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A",999,8958,999,"move a block from row5cell12 to circlerow5cell10",4743,0
27392,82761,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,green,red,white,white,white,white,white,white,white,white,white,white,white,white,white,white,green,red,blue,red,white,white,red,white,white,white,blue,white,green,blue,blue,white,white,blue,green,green,blue,green,blue,blue,red,white,red,white,red,red,blue,green,blue,green,red,red,green",1,"move blue A","move",3259,"move a block from row6cell12 to circlerow4cell05",999,4743,0
