"helperRandCode","architectRandCode","config","goalnumber","goal","helperChoice","helperChoiceTime","helperMove","architectMove","architectChoiceTime","goalSuccess"
97122,"NA","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2",999,"NA",999,"move a block from row5cell15 to circlerow5cell17",11332,"NA"
97122,40291,"NA",1,"fill nocolor C2","move",15047,"move a block from row6cell07 to circlerow4cell17",999,"NA",0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2",999,15047,999,"move a block from row6cell15 to circlerow4cell18",7485,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2","pass",5367,"pass",999,7485,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2",999,5367,999,"move a block from row4cell03 to circlerow3cell16",4904,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2","move",10555,"move a block from row4cell17 to circlerow2cell16",999,4904,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2",999,10555,999,"move a block from row5cell10 to circlerow4cell17",3464,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2","pass",9206,"pass",999,3464,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2",999,9206,999,"move a block from row5cell08 to circlerow3cell17",3552,0
97122,40291,"white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,red,white,white,white,white,white,white,white,white,white,white,white,white,green,white,white,blue,white,red,red,blue,red,white,red,white,red,white,blue,white,white,blue,red,white,green,green,blue,green,red,blue,red,green,red,blue,green,blue,green,white,green,blue,green,green,blue",1,"fill nocolor C2","move",4793,"move a block from row6cell08 to circlerow6cell15",999,3552,0
