"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"hUQ21tCx","46","female","12",0,0,0,0,1,"no",0,0
"J82SjwzV","21","Female","16",0,0,1,0,0,"no",0,0
