"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"OW8twFKX","44","female","12",0,0,0,0,1,"no",0,0
"hoXUJ3Bt","33","Female","15",0,0,1,0,0,"None",0,0
