"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"OOtsOfOy","43","Female","14",0,0,0,0,1,"No",0,0
"WEBKZ3cu","55","Male","19",0,0,0,0,1,"no",0,0
