"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"yvkhmtDZ","40","female","12",0,0,0,0,1,"no",0,0
"G8mkXLip","62","male","15",0,0,0,0,1,"no",0,0
