"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"BgpVuoLi","46","male","16",0,0,0,0,1,"no",0,0
"4VY1fRjl","38","male","16",1,0,1,0,1,"no",1,0
