"player","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"REfGIvxB","57","FEMALE","15",0,0,0,0,1,"no",0,0
"VLjAEYZ6","36","Female","18",0,0,0,0,0,"No",1,0
