"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"cxNC7ivW","NA","NA","35","male","15",0,0,1,0,0,"no",0,0
"qoRvrwER","NA","NA","30","female","15",0,0,1,0,0,"no",0,0
