"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"GzyPl5ub","NA","NA","40","Male","12",0,0,0,0,0,"no",0,1
"AqCNuv5U","NA","NA","35","Male","16",0,0,1,0,0,"No",0,0
