"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"6mPU60ob","NA","NA","46","male","20",0,0,0,0,1,"no",0,0
"bpFJFlNX","NA","NA","53","Male","12",0,0,1,0,0,"no",0,0
