"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"MQbuQOXo","NA","NA","63","Female","16",0,0,0,0,1,"no",0,0
"5D3slCHK","NA","NA","49","female","13",0,0,0,0,1,"No",0,0
