"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"J0Xq9ENl","NA","NA","34","Male","16",0,0,1,0,0,"No",0,0
"CVyESFmu","NA","NA","51","male","16",0,0,0,0,1,"no",0,0
