"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"k48Rm1xL","NA","NA","52","male","15",0,0,0,0,1,"No",0,0
"JvbWzIyx","NA","NA","50","male","14",0,0,0,0,1,"no",0,0
