"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"oSbNtYZN","NA","NA","44","female","12",0,0,0,0,1,"no",0,0
"rUJzwy45","NA","NA","33","male","17",0,0,1,0,0,"no",0,0
