"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"EHLFlhMC","NA","NA","43","male","19",0,0,0,0,1,"no",0,0
"LnvsZIPL","NA","NA","43","male","16",0,0,0,0,1,"no",0,0
