"player","ID","RandCode","age","gender","education","hawaii","native","asian","black","white","hispanic","more","no"
"sUCLpPPx","NA","NA","49","female","16",0,0,0,0,1,"no",0,0
"DEa8RLKL","NA","NA","51","Male","14",0,0,0,0,1,"No",0,0
